"volume","high_close_ratio","low_close_ratio","close_lastclose_ratio","volume_ma10_ratio","close_ma60_ratio","trsrange_ratio","natr5_ratio","adosc5_ratio","apo5_ratio","macdhist5_ratio","cci5_ratio","cmo5_ratio","ppo5_ratio","ultosc5_ratio"
0.046397472,0.1258152586,-0.0390928455,-0.0777546236,-0.0937213328,-0.0700240738,-0.0571428571,-0.1040126969,0.0001433591,0.007751938,-0.000060076,1.07791964654567E-14,5.3382715512654E-05,0.0078099695,-0.1005888045
0.0633092379,0.1258152586,-0.0390928455,0,-0.027803308,-0.0691394164,0,-0.0972957046,0.0001433131,-0.0043604651,-0.0001982348,-5.29415743069022E-15,-1.07796967961058E-20,-0.0042830005,-0.0201197309
0.0574596915,0.2102981442,0,-0.0391013885,-0.0415228689,-0.0817256918,0.0333333333,-0.0452563783,0.0002068072,-0.0023852117,-0.0001599594,-4.91052283426365E-15,2.07086999957028E-05,-0.0023035498,-0.2212563693
0.0600289665,0,-0.193236715,0.1960719916,-0.0323076352,-0.0130259255,0,-0.0563478516,-0.0001080542,-0.0073089701,-0.0011751883,-3.68289212569759E-14,-0.0001329447,-0.0072912995,0.4108912634
0.1683185602,0.0815273478,-0.1139934235,0.2319347319,0.1890624658,0.0671413536,0.08,0.0641588385,-0.0002132736,-0.0174418605,0.0020310595,1.4731568502792E-14,0.0002035938,-0.0174507095,0.1589116659
0.0629649557,0.12402811,-0.0385375494,-0.1900305577,-0.0514264824,-0.0029175317,-0.0333333333,0.0059977539,-0.00007712,-0.0542635659,-0.0002954078,-1.11756726572899E-14,-8.43090612994037E-05,-0.0543369158,-0.0777172397
0.0647042473,0.1658419553,-0.077294686,-0.0385459711,-0.0379407788,-0.0190653427,0,-0.0050225115,9.00446919606966E-06,0.0203488372,-0.0004317325,-1.40753235157241E-14,-0.000115786,0.0203505668,0.0020285396
0.0764810393,0.2516305172,-0.0390928455,-0.1546231546,-0.0004520196,-0.0744423418,0.0222222222,0.0444039139,0.0002118614,0.0093023256,-0.0017224817,-7.63472102523003E-13,0.0020072579,0.0093461057,-0.0375932527
0.0550435392,0.0833961695,-0.0777376355,0.0782027771,-0.0494560868,-0.0501976801,-0.0571428571,-0.0915079174,4.51736843915764E-05,-0.0055370986,-0.0001766773,-2.17269264668819E-15,-6.30723259891921E-05,-0.0055460344,-0.0746870558
0.0896339848,0.1261788865,-0.0784116612,-0.1166319354,0.0383160793,-0.0922929891,0.0333333333,-0.0246788624,3.90456392283879E-05,-0.0276162791,0.0005517012,6.34774902965789E-15,0.0002007003,-0.0276392986,-0.1485060563
0.0410199726,0.0419384195,-0.1172785365,0.0392143983,-0.0834788731,-0.079733247,-0.0266666667,-0.0720507603,-8.9857057908987E-05,0.0775193798,-0.0002318805,-3.68289212569787E-15,-3.475455609573E-05,0.0775734763,0.1955478646
0.0566466133,0,-0.154589372,0.1564055541,-0.0424915401,-0.0286518973,0,-0.0711335287,-0.0003066767,0.0071556351,-0.0012278832,-2.94631370055824E-14,-0.0001817927,0.0071258185,0.2104480852
0.1416365271,0.0408781786,-0.2286272594,0.1932789433,0.1378604678,0.0357945991,0.1,0.0694279105,-0.00096427,-0.0109439124,0.0019107268,1.19908115720393E-14,0.0001611394,-0.0109866807,0.2892602203
0.1149905802,0.1639733136,-0.07642376,-0.0381128703,0.0599583171,0.0203495393,-0.019047619,0.02570832,0.0008709095,-0.0206718346,-6.2763507657123E-05,-5.41601783190841E-15,-2.32676550645807E-05,-0.0206892063,-0.0695284422
0.0478344194,0.0824511704,-0.1152851336,-0.0764404609,-0.0681153736,-0.0080477111,-0.0222222222,-0.0174671094,0.0002603382,-0.4186046512,-0.0003632411,-1.15208420342343E-14,-6.07058452583498E-05,-0.419348012,0.0256256494
