"volume_lastvolume_ratio","ad_ratio","ma5_ratio","wma5_ratio","apo5_ratio","aroonup5_ratio","aroonosc5_ratio","rsi5_ratio","macdhist5_ratio","cmo5_ratio"
-0.0156364135,-0.0801854754,0.0606140379,0.0942525259,-0.0047996084,0,-0.0416666667,0.0136496582,0.0098171464,0.0061979441
-0.0327551455,0.0689238705,-0.0476238576,-0.0351883508,-0.0291432281,0,-0.0555555556,-0.0262466883,-0.0042216697,-0.0055419753
0.1541238315,-0.0610650076,0.0636914354,0.0575501638,0.2028073869,0.8,-0.4166666667,0.0220363524,0.0375395584,-0.0107821445
-0.0790500571,0.0287675518,0.076174248,0.034237813,-0.0625401225,-0.05,0,-0.0013369591,-0.0004201884,-0.0005221248
0.1117052709,0.0563793865,0.0095001086,-0.0018306138,0.0162645459,0.1333333333,0.1111111111,-0.004790923,-0.0030753976,-0.0021038673
0.031911941,-0.0322516027,0.025250434,0.0831121976,-0.005917279,0,-0.0666666667,0.0240356925,0.0266797177,0.0199200088
-0.0457301101,0.0845704311,0.0819229845,0.0476936851,0.0280734449,0,0.0555555556,-0.0095813133,-0.0015013813,-0.0017493115
-0.0179084741,-0.0546602281,0.0627577326,0.0741102551,3.68749053457488E-06,-0.04,0,0.0119828873,0.0017441944,0.0033472449
-0.0151561238,0.0308668427,0.0562571185,0.0418834733,-0.002031534,-0.05,-0.0833333333,-0.0056721313,-0.0018715255,-0.0009981553
1,0.185860783,-0.1184157697,-0.2424537451,-0.0149927831,-0.0666666667,-0.4166666667,-0.0559207927,-0.0301050379,-0.0120965905
-0.0825316267,0.020901961,-0.0313789305,0.0055723347,-0.0145220852,-0.1,0,0.1027672302,-0.0028875441,-0.0047873384
-0.0589787184,0.1341598535,-0.0785605882,-0.08212552,-0.0874810771,-0.2,0,-0.0161117789,0.001182584,-0.011976478
-0.0476091903,0.0780251616,-0.1357731436,-0.0918499733,0.0493244679,0.2,-0.1111111111,-0.0062564494,0.0005761768,0.0021009675
-0.0132834099,0.077335024,-0.1592247903,-0.0990325378,0.0190203123,-0.2,0,-0.0099952227,0.0006690625,0.0020922134
0.0593248065,-0.0384598069,0.0996755635,0.0507800976,-0.0113957313,0,-0.1666666667,0.0366052574,-0.0040295504,-0.0045772811
-0.0689786209,0.055626805,-0.0894757746,-0.0346485349,0.0050864819,0,0.5,-0.0125151787,0.0003388406,-0.0265553812
0.0331272034,0.0680454563,-0.0353178251,-0.0272093975,-0.0033371912,0,-0.0555555556,-0.0049385599,0.0026362875,0.0017191206
-0.0315844028,0.036126031,-0.032235668,-0.0452111865,-0.0089510624,0.4,0.0833333333,-0.0084444288,0.0036003243,0.0019794434
0.0131896123,0.012615151,0,-0.0359003306,-0.0201550541,-0.1,0.0555555556,0,-0.0013958766,6.31541129680236E-19
-0.0201364961,0,-0.0677237552,-0.0311948027,0.0791911114,-0.2,0,0.0035272782,-0.0041115226,-0.0005122622
0.0375379593,0.0028964188,-0.0226899238,-0.0019008864,-0.0082206021,0,0.0416666667,0.0077230422,-0.0722780553,-0.0013244049
-0.0549984327,-0.0159450332,0.0161836818,0.0426618346,-0.0089393452,0,-0.0333333333,0.0266007354,0.008415255,-0.0071907096
0.0650798758,0.0547558288,0,-0.0142068255,-0.0083104516,1,-0.25,-0.0250559736,-0.0025155602,-0.0124376923
